date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
13:31:33	478/478	---MCZ	200	added ('OK')	text/plain	etag:cacheable:3cf90f461cdcd77b46e92f1131c9abe2	https://itcstore.in/robots.txt		(from )
13:31:33	429630/429630	---MCZ	200	added ('OK')	text/html	etag:cacheable:024b8a190530923dfe11b2fb506ee01e	https://itcstore.in/	C:/My%20Web%20Sites/ITC/itcstore.in/index.html	(from )
13:31:35	321993/321993	---M-Z	200	added ('OK')	text/css	date:Tue,%2010%20Aug%202021%2008:30:55%20GMT	http://cdn.shopify.com/s/files/1/0173/7644/4470/t/173/assets/vendor.min.css?v=10723470302034590015	C:/My%20Web%20Sites/ITC/cdn.shopify.com/s/files/1/0173/7644/4470/t/173/assets/vendor.mine0cf.css	(from https://itcstore.in/)
13:31:37	450173/450173	---M-Z	200	added ('OK')	text/css	date:Tue,%2031%20Aug%202021%2013:57:56%20GMT	http://cdn.shopify.com/s/files/1/0173/7644/4470/t/173/assets/theme_style.css?v=4249163733727352979	C:/My%20Web%20Sites/ITC/cdn.shopify.com/s/files/1/0173/7644/4470/t/173/assets/theme_style3925.css	(from https://itcstore.in/)
13:31:39	826/826	---M--	200	added ('OK')	image/png	date:Sun,%2022%20Aug%202021%2007:23:05%20GMT	http://cdn.shopify.com/s/files/1/0173/7644/4470/files/Fevicon_32x32.png?v=1574678656	C:/My%20Web%20Sites/ITC/cdn.shopify.com/s/files/1/0173/7644/4470/files/Fevicon_32x328247.png	(from https://itcstore.in/)
13:31:40	16290/16290	---M-Z	200	added ('OK')	application/javascript	date:Tue,%2031%20Aug%202021%2013:58:27%20GMT	http://cdn.shopify.com/s/files/1/0173/7644/4470/t/173/assets/adobe_datalayer.js?v=4322836837875061721	C:/My%20Web%20Sites/ITC/cdn.shopify.com/s/files/1/0173/7644/4470/t/173/assets/adobe_datalayer2466.js	(from https://itcstore.in/)
13:31:43	1555/1555	---M--	400	error ('Bad%20Request')	text/html	date:Wed,%2001%20Sep%202021%2008:01:44%20GMT	https://www.googletagmanager.com/gtm.js?id=	C:/My%20Web%20Sites/ITC/www.googletagmanager.com/gtm.65445.delayed	(from https://itcstore.in/)
13:31:44	279448/279448	---MCZ	200	added ('OK')	application/x-javascript	etag:%22ac58d6e9944c970fc076afc8fde698a9:1629974496.840028%22	http://assets.adobedtm.com/28fd456592e1/d009ce231e19/launch-7cba94a054a7.min.js	C:/My%20Web%20Sites/ITC/assets.adobedtm.com/28fd456592e1/d009ce231e19/launch-7cba94a054a7.min.js	(from https://itcstore.in/)
13:31:48	352483/352483	---MCZ	404	error ('Not%20Found')	text/html	etag:cacheable:a20f227d83c9352165962e26b3335d63	https://itcstore.in/POST	C:/My%20Web%20Sites/ITC/itcstore.in/POST	(from https://itcstore.in/)
13:31:49	8039/8039	---M-Z	200	added ('OK')	application/javascript	date:Tue,%2015%20Jun%202021%2003:37:30%20GMT	http://cdn.shopify.com/shopifycloud/shopify/assets/shop_events_listener-eb19870e6f215e4e4acd8067d24ecfcbfee2d96d96aa8607e8fd45edf40eacc6.js	C:/My%20Web%20Sites/ITC/cdn.shopify.com/shopifycloud/shopify/assets/shop_events_listener-eb19870e6f215e4e4acd8067d24ecfcbfee2d96d96aa8607e8fd45edf40eacc6.js	(from https://itcstore.in/)
